#Energy [keV]              Counts per [keV-s]              Error
493              -0.000109621                9.48652e-05
494              -9.73151e-06                9.37747e-05
495              0.000128338                9.95972e-05
496              1.63674e-05                9.65655e-05
497              -0.000213072                9.11516e-05
498              5.9231e-06                9.74997e-05
499              -2.56738e-05                9.56458e-05
500              1.62265e-05                9.80421e-05
501              5.45594e-05                9.83468e-05
502              0.000108142                9.91456e-05
503              1.03179e-05                9.83006e-05
504              0.000135485                9.87104e-05
505              -6.71565e-06                9.67624e-05
506              9.98982e-05                9.92141e-05
507              4.40923e-06                9.85584e-05
508              4.62858e-05                0.000110212
509              0.000155572                0.000131212
510              0.000591744                0.000165801
511              0.000296305                0.000192675
512              0.000446749                0.000215768
513              -0.000319842                0.000216888
514              -0.000616669                0.000201082
515              -0.000376346                0.000178421
516              -0.000509257                0.000142701
517              -0.000116024                0.000121796
518              -0.000268334                0.000103027
519              -0.000124736                9.54273e-05
520              -5.67191e-05                9.28712e-05
521              -7.34709e-05                8.80358e-05
522              -2.38782e-05                9.14649e-05
523              -1.6039e-05                8.79639e-05
524              -5.49235e-05                8.85594e-05
525              2.00876e-05                9.19641e-05
526              -6.70378e-06                9.15343e-05
527              0.000139898                9.17819e-05
528              1.76174e-05                9.06387e-05
529              0.000108841                9.42619e-05
530              -9.02346e-05                8.86565e-05
531              6.19938e-05                9.18113e-05
532              -0.000118804                8.41828e-05
533              0.000155828                9.51521e-05
534              1.32166e-05                9.24703e-05
535              -0.000100121                8.59307e-05
536              -2.78563e-05                8.8539e-05
537              -5.29989e-05                8.80771e-05
538              7.62754e-05                9.51948e-05
539              5.70415e-05                9.4497e-05
540              -7.11449e-06                9.08634e-05
541              -0.000136125                8.86206e-05
542              -3.44515e-05                8.86004e-05
543              0.000101565                9.14553e-05
544              0.000130967                9.16386e-05
545              6.21669e-06                8.91462e-05
546              -6.1102e-05                8.6509e-05
547              0.000157894                9.31739e-05
548              -4.72311e-05                8.94101e-05
549              -9.58471e-06                8.95216e-05
550              0.000121767                8.92279e-05
551              -0.000190247                8.29241e-05
552              4.96309e-05                9.05737e-05
553              3.19108e-05                8.86773e-05
554              -5.80802e-05                8.69532e-05
555              0.00014512                9.12868e-05
556              -6.1522e-06                9.06286e-05
557              -2.02132e-06                8.64201e-05
558              7.77952e-05                9.14453e-05
559              3.94683e-05                8.83753e-05
560              3.93334e-05                8.72085e-05
561              -4.69494e-05                8.61363e-05
562              2.21471e-05                9.26124e-05
563              3.7133e-05                8.81647e-05
564              -5.30048e-05                9.08283e-05
565              5.31983e-05                9.27787e-05
566              6.322e-05                9.63777e-05
567              0.000162699                9.46603e-05
568              -7.67863e-05                9.60853e-05
569              0.000148933                0.000105433
570              0.000202645                0.000109412
571              -2.07571e-05                0.000107708
572              -2.07475e-06                0.00010908
573              -0.000160059                0.000100539
574              -9.51987e-05                9.66684e-05
575              9.08328e-05                9.80422e-05
576              -7.5824e-05                9.58634e-05
577              -0.000132288                9.31001e-05
578              -0.000109615                9.22344e-05
579              0.000133156                9.59915e-05
580              6.35018e-05                9.33486e-05
581              -1.02771e-05                9.20133e-05
582              -6.89471e-05                9.27588e-05
583              -6.12488e-05                9.09031e-05
584              0.000102099                9.83653e-05
585              4.53591e-05                9.61045e-05
586              3.99852e-06                9.79356e-05
587              -5.4237e-05                8.87843e-05
588              -2.03319e-06                9.19394e-05
589              -4.0501e-05                9.04884e-05
590              -0.000163732                8.38914e-05
591              -0.000121286                8.84824e-05
592              -2.78563e-05                8.8539e-05
593              -4.62688e-05                8.91715e-05
594              7.09302e-05                8.92379e-05
595              4.4127e-05                9.41751e-05
596              2.57026e-05                9.98287e-05
597              -2.33867e-06                0.000104864
598              -8.94547e-05                0.000107472
599              -5.51913e-06                0.00011262
600              8.90016e-05                0.000115533
601              7.10058e-05                0.000114413
602              -0.000100322                0.000112221
603              -0.000214493                0.000110302
604              5.9869e-05                0.00011715
605              -4.83857e-06                0.000114959
606              7.03133e-05                0.000116373
607              -6.92704e-05                0.000112358
608              9.95749e-05                0.000117744
609              -0.000143184                0.000110327
610              -5.54054e-05                0.000116735
611              -0.000112972                0.000115908
612              1.81096e-05                0.000113897
613              0.000112501                0.000113754
614              -0.000366158                0.000102215
615              -2.26817e-05                0.000108103
616              -5.3721e-05                0.0001033
617              2.21233e-05                0.000102693
618              -2.88424e-05                9.92503e-05
619              2.37781e-05                0.000100255
620              -0.000125704                9.81895e-05
621              -8.29767e-05                9.92867e-05
622              -7.3078e-05                9.66919e-05
623              -3.29554e-05                9.5494e-05
624              -7.3078e-05                9.66919e-05
625              1.30698e-05                9.65936e-05
626              2.92879e-05                9.43049e-05
627              -0.000120746                9.29978e-05
628              -3.94038e-05                9.13806e-05
629              -0.000195211                9.14396e-05
630              -5.65782e-05                9.1311e-05
631              -0.000178172                9.03828e-05
632              8.98824e-05                9.31153e-05
633              8.06762e-05                9.34166e-05
634              -7.95204e-05                8.99356e-05
635              6.26744e-05                9.46648e-05
636              -1.49418e-05                8.88814e-05
637              -0.000119361                8.79996e-05
638              3.83592e-05                9.29105e-05
639              7.14759e-05                9.10529e-05
640              7.79302e-05                9.25587e-05
641              -2.19477e-05                8.82519e-05
642              4.48254e-05                8.90191e-05
643              4.56468e-05                9.03834e-05
644              0.000148148                8.89838e-05
645              9.77216e-05                8.96787e-05
646              -4.07649e-05                8.53593e-05
647              -7.29193e-05                8.70938e-05
648              -3.60943e-05                8.57936e-05
649              3.32838e-05                8.9126e-05
650              7.84877e-05                8.89377e-05
651              -3.26533e-06                8.99207e-05
652              0.000136471                8.79334e-05
653              -0.000118792                7.81173e-05
654              8.71423e-05                8.95472e-05
655              -1.80866e-05                8.14467e-05
656              -0.000165521                8.56028e-05
657              -7.90978e-05                8.5008e-05
658              7.44883e-06                9.11821e-05
659              -2.95111e-05                9.12913e-05
660              -2.48405e-05                9.16975e-05
661              -0.000160998                9.0453e-05
662              6.52855e-05                9.44251e-05
663              3.68453e-05                9.4021e-05
664              4.89384e-05                9.30373e-05
665              3.87758e-05                9.08984e-05
